id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
31219270,Spacious Modern Luxury - New 3 Bedroom 2 Bath Home,233495521,Spencer,Delridge,North Delridge,47.56986,-122.36064,Entire home/apt,259,2,34,2021-03-14,1.34,1,61
31221278,A-Seattle Urban Village- Orcas- Roof top view deck,39834464,,Cascade,Eastlake,47.64041,-122.32481,Private room,51,30,2,2020-08-31,0.12,48,341
31221358,A-Seattle Urban Village- Guemes-Roof top view deck,39834464,,Cascade,Eastlake,47.64078,-122.32484,Private room,48,30,3,2020-09-01,0.22,48,337
31222265,Gracious craftsman in walkable neighborhood!,673805,Amy,Other neighborhoods,Ravenna,47.66755,-122.29735,Entire home/apt,207,30,5,2020-09-30,0.19,2,33
31223575,"N Seattle home -2 BDRM big kitchen,laundry,parking",7435040,Chengying,Northgate,Pinehurst,47.71802,-122.32327,Entire home/apt,74,2,80,2020-12-26,3.09,8,250
31224895,Modern 4 bed/3.5 bath - Between airport & downtown,5325329,Blair,Beacon Hill,Mid-Beacon Hill,47.55326,-122.31272,Entire home/apt,250,30,81,2020-03-08,3.04,2,353
31243526,2 Bedroom Capitol Hill w/ Parking Spot!,162159097,Donald,Capitol Hill,Stevens,47.62046,-122.30229,Entire home/apt,110,2,26,2021-03-15,1.07,1,273
31262812,Modern Magnolia retreat in historic brick Tudor,26369035,Mardee,Magnolia,Southeast Magnolia,47.64249,-122.39283,Entire home/apt,130,2,16,2021-02-19,0.71,1,0
31287568,"Spacious New 1BR Apt in Seward Park, Seattle",234147890,Robert,Seward Park,Seward Park,47.55761,-122.26937,Entire home/apt,50,3,93,2021-03-18,3.62,1,106
31294061,New Royal starlight room with memory foam bed,30559,Angielena,Beacon Hill,Mid-Beacon Hill,47.5508,-122.3174,Private room,50,2,14,2020-04-20,0.54,7,364
31364672,Domicile Suites at Mark on 8th - 1BD 2L,82961680,Addison,Cascade,South Lake Union,47.61962,-122.34248,Hotel room,139,30,0,,,12,365
31364811,Domicile Suites at Mark on 8th - 1BD 1L,82961680,Addison,Cascade,South Lake Union,47.62155,-122.34099,Hotel room,139,30,0,,,12,365
31376876,Spacious North Seattle Home on quiet cul-de-sac,126255470,Lorrie,Other neighborhoods,Bitter Lake,47.72826,-122.34976,Entire home/apt,134,2,15,2021-03-10,0.72,1,1
31377235,Cozy Beacon Hill House near VA Hospital,6522232,Kevin,Beacon Hill,Mid-Beacon Hill,47.56176,-122.31412,Entire home/apt,125,2,19,2020-02-16,0.93,1,3
31391400,Spacious West Seattle Home,3690557,Minh,Delridge,Roxhill,47.53654,-122.36984,Entire home/apt,67,30,10,2021-02-27,0.40,1,39
31436263,The Crissey home (minimum 30 nights stay),159544835,Noah,Lake City,Victory Heights,47.7004,-122.30436,Entire home/apt,59,30,88,2021-01-31,3.35,2,38
31462782,"Clean, Spacious, Modern Queen Anne Basement Studio",235362223,Lora,Queen Anne,North Queen Anne,47.64166,-122.36096,Entire home/apt,105,3,55,2021-02-28,2.37,1,31
31465446,Sunset Hill Views,54914134,Lea,Ballard,Sunset Hill,47.67335,-122.40452,Entire home/apt,141,3,25,2021-03-15,1.02,1,122
31476418,Private Magnolia Space - Close to the Cruise Port,21752052,SarahBeth,Magnolia,Lawton Park,47.65025,-122.40315,Entire home/apt,89,30,61,2019-10-28,2.31,1,153
31489880,Seattle Gem in Fremont,3483619,Avtar,Other neighborhoods,Fremont,47.65285,-122.35285,Entire home/apt,225,30,16,2019-12-30,0.61,1,0
31498217,Charming Travelling Nurse close to hospitals UW,28379912,Daniel James,Cascade,Eastlake,47.64434,-122.32604,Entire home/apt,65,30,1,2021-02-14,0.86,9,239
31545482,2BR Greenwood Artists Hideaway,236442276,Kelley,Other neighborhoods,Greenwood,47.69565,-122.34472,Entire home/apt,76,2,123,2021-03-28,4.86,1,113
31562982,Luxury apt on Queen Anne's desirable South Slope,236572187,Karen,Queen Anne,East Queen Anne,47.62962,-122.3446,Entire home/apt,128,2,56,2020-09-24,2.18,2,46
31571665,Well located chic and bright basement apartment,13340623,Christel,Central Area,Madrona,47.60905,-122.29318,Entire home/apt,91,2,42,2021-03-07,1.70,1,96
31602811,"N Seattle home MIL- kitchen,bath,laundry, parking",7435040,Chengying,Northgate,Pinehurst,47.71802,-122.32327,Entire home/apt,80,1,17,2020-05-20,0.68,8,291
31622679,3-Great Studio Columbia City-Walk to Light Rail,225034304,Julie,Rainier Valley,Columbia City,47.5569,-122.28563,Entire home/apt,83,30,72,2020-03-19,2.73,2,131
31623201,City Haven Apartment with a Fireplace in a Craftsman House,15784748,Teresa,Other neighborhoods,Fremont,47.66161,-122.3498,Entire home/apt,125,2,56,2021-03-12,2.13,1,231
31644836,Beacon hill Oasis - Easy access downtown & airport,5325329,Blair,Beacon Hill,South Beacon Hill,47.51504,-122.28489,Entire home/apt,168,30,87,2020-03-09,3.40,2,353
31649637,Private Studio in Classic 1902 Capitol Hill Home,237294625,Cara,Capitol Hill,Broadway,47.6213,-122.31402,Entire home/apt,80,2,183,2021-03-27,6.90,1,55
31669054,Beautiful Lower Guest Suite  close to the Airport!,237527682,Gabriel,Rainier Valley,Rainier Beach,47.50861,-122.2662,Entire home/apt,56,3,87,2020-11-15,3.30,1,0
31690879,"Sunset Hill, Ballard, North Seattle",237650812,Aaron,Ballard,Sunset Hill,47.68041,-122.39611,Entire home/apt,55,1,136,2021-03-30,5.16,1,117
31800143,Desirable Queen Anne Suite Near Public Transit!,238316393,Ryley,Queen Anne,North Queen Anne,47.64411,-122.36725,Entire home/apt,100,3,116,2021-03-05,4.47,1,84
31836754,Cozy North Seattle Private Suite,41643403,Elizabeth,Other neighborhoods,Greenwood,47.69974,-122.34625,Entire home/apt,70,30,41,2020-12-19,1.58,1,180
